timestamp1,temperature1,humidity1,timestamp2,temperature2,humidity2
2024-09-24 00:00:00,45.5,72.8,2024-09-24 00:00:50,-15.7,34.2
2024-09-24 00:50:00,47.1,70.3,2024-09-24 00:50:50,20.2,65.1
2024-09-24 01:40:00,60.2,90.7,2024-09-24 01:40:50,-5.3,42.8
2024-09-24 02:30:00,32.1,55.8,2024-09-24 02:30:50,14.6,50.2
2024-09-24 03:20:00,28.7,48.9,2024-09-24 03:20:50,25.3,63.7
2024-09-24 04:10:00,-10.3,20.5,2024-09-24 04:10:50,8.5,41.2
2024-09-24 05:00:00,17.9,60.3,2024-09-24 05:00:50,-22.1,29.8
2024-09-24 05:50:00,30.6,78.9,2024-09-24 05:50:50,35.8,80.1
2024-09-24 06:40:00,24.3,67.5,2024-09-24 06:40:50,40.2,71.6
2024-09-24 07:30:00,10.5,40.8,2024-09-24 07:30:50,5.7,38.9
2024-09-24 08:20:00,44.1,95.1,2024-09-24 08:20:50,60.3,91.2
2024-09-24 09:10:00,-30.2,12.5,2024-09-24 09:10:50,-27.3,15.8
2024-09-24 10:00:00,15.3,55.8,2024-09-24 10:00:50,20.7,60.2
2024-09-24 10:50:00,18.4,70.3,2024-09-24 10:50:50,22.8,65.5
2024-09-24 11:40:00,38.2,82.1,2024-09-24 11:40:50,50.1,88.0
2024-09-24 12:30:00,-20.8,5.6,2024-09-24 12:30:50,-10.5,12.3
2024-09-24 13:20:00,25.0,60.7,2024-09-24 13:20:50,28.4,70.2
2024-09-24 14:10:00,45.1,72.8,2024-09-24 14:10:50,30.7,62.5
2024-09-24 15:00:00,29.3,66.7,2024-09-24 15:00:50,24.1,59.4
2024-09-24 15:50:00,40.5,78.9,2024-09-24 15:50:50,42.8,83.1
2024-09-24 16:40:00,45.5,85.3,2024-09-24 16:40:50,50.4,88.9
2024-09-24 17:30:00,39.2,70.1,2024-09-24 17:30:50,38.7,71.4
2024-09-24 18:20:00,-18.3,25.0,2024-09-24 18:20:50,-15.9,30.2
2024-09-24 19:10:00,31.8,58.9,2024-09-24 19:10:50,25.0,60.8
2024-09-24 20:00:00,48.7,78.1,2024-09-24 20:00:50,51.2,81.5
2024-09-24 20:50:00,35.4,67.8,2024-09-24 20:50:50,33.6,64.2
2024-09-24 21:40:00,29.8,54.3,2024-09-24 21:40:50,27.4,50.1
2024-09-24 22:30:00,20.0,48.2,2024-09-24 22:30:50,22.3,45.7
2024-09-24 23:20:00,55.3,92.7,2024-09-24 23:20:50,50.0,90.1
2024-09-25 00:10:00,10.5,32.9,2024-09-25 00:10:50,12.8,35.0
2024-09-25 01:00:00,48.3,75.0,2024-09-25 01:00:50,50.1,80.5
2024-09-24 00:00:00,45.5,72.8,2024-09-24 00:00:50,-15.7,34.2
2024-09-24 00:50:00,47.1,70.3,2024-09-24 00:50:50,20.2,65.1
2024-09-24 01:40:00,60.2,90.7,2024-09-24 01:40:50,-5.3,42.8
2024-09-24 02:30:00,32.1,55.8,2024-09-24 02:30:50,14.6,50.2
2024-09-24 03:20:00,28.7,48.9,2024-09-24 03:20:50,25.3,63.7
2024-09-24 04:10:00,-10.3,20.5,2024-09-24 04:10:50,8.5,41.2
2024-09-24 05:00:00,17.9,60.3,2024-09-24 05:00:50,-22.1,29.8
2024-09-24 05:50:00,30.6,78.9,2024-09-24 05:50:50,35.8,80.1
2024-09-24 06:40:00,24.3,67.5,2024-09-24 06:40:50,40.2,71.6
2024-09-24 07:30:00,10.5,40.8,2024-09-24 07:30:50,5.7,38.9
2024-09-24 08:20:00,44.1,95.1,2024-09-24 08:20:50,60.3,91.2
2024-09-24 09:10:00,-30.2,12.5,2024-09-24 09:10:50,-27.3,15.8
2024-09-24 10:00:00,15.3,55.8,2024-09-24 10:00:50,20.7,60.2
2024-09-24 10:50:00,18.4,70.3,2024-09-24 10:50:50,22.8,65.5
2024-09-24 11:40:00,38.2,82.1,2024-09-24 11:40:50,50.1,88.0
2024-09-24 12:30:00,-20.8,5.6,2024-09-24 12:30:50,-10.5,12.3
2024-09-24 13:20:00,25.0,60.7,2024-09-24 13:20:50,28.4,70.2
2024-09-24 14:10:00,45.1,72.8,2024-09-24 14:10:50,30.7,62.5
2024-09-24 15:00:00,29.3,66.7,2024-09-24 15:00:50,24.1,59.4
2024-09-24 15:50:00,40.5,78.9,2024-09-24 15:50:50,42.8,83.1
2024-09-24 16:40:00,45.5,85.3,2024-09-24 16:40:50,50.4,88.9
2024-09-24 17:30:00,39.2,70.1,2024-09-24 17:30:50,38.7,71.4
2024-09-24 18:20:00,-18.3,25.0,2024-09-24 18:20:50,-15.9,30.2
2024-09-24 19:10:00,31.8,58.9,2024-09-24 19:10:50,25.0,60.8
2024-09-24 20:00:00,48.7,78.1,2024-09-24 20:00:50,51.2,81.5
2024-09-24 20:50:00,35.4,67.8,2024-09-24 20:50:50,33.6,64.2
2024-09-24 21:40:00,29.8,54.3,2024-09-24 21:40:50,27.4,50.1
2024-09-24 22:30:00,20.0,48.2,2024-09-24 22:30:50,22.3,45.7
2024-09-24 23:20:00,55.3,92.7,2024-09-24 23:20:50,50.0,90.1
2024-09-25 00:10:00,10.5,32.9,2024-09-25 00:10:50,12.8,35.0
2024-09-24 00:00:00,45.5,72.8,2024-09-24 00:00:50,-15.7,34.2
2024-09-24 00:50:00,47.1,70.3,2024-09-24 00:50:50,20.2,65.1
2024-09-24 01:40:00,60.2,90.7,2024-09-24 01:40:50,-5.3,42.8
2024-09-24 02:30:00,32.1,55.8,2024-09-24 02:30:50,14.6,50.2
2024-09-24 03:20:00,28.7,48.9,2024-09-24 03:20:50,25.3,63.7
2024-09-24 04:10:00,-10.3,20.5,2024-09-24 04:10:50,8.5,41.2
2024-09-24 05:00:00,17.9,60.3,2024-09-24 05:00:50,-22.1,29.8
2024-09-24 05:50:00,30.6,78.9,2024-09-24 05:50:50,35.8,80.1
2024-09-24 06:40:00,24.3,67.5,2024-09-24 06:40:50,40.2,71.6
2024-09-24 07:30:00,10.5,40.8,2024-09-24 07:30:50,5.7,38.9
2024-09-24 08:20:00,44.1,95.1,2024-09-24 08:20:50,60.3,91.2
2024-09-24 09:10:00,-30.2,12.5,2024-09-24 09:10:50,-27.3,15.8
2024-09-24 10:00:00,15.3,55.8,2024-09-24 10:00:50,20.7,60.2
2024-09-24 10:50:00,18.4,70.3,2024-09-24 10:50:50,22.8,65.5
2024-09-24 11:40:00,38.2,82.1,2024-09-24 11:40:50,50.1,88.0
2024-09-24 12:30:00,-20.8,5.6,2024-09-24 12:30:50,-10.5,12.3
2024-09-24 13:20:00,25.0,60.7,2024-09-24 13:20:50,28.4,70.2
2024-09-24 14:10:00,45.1,72.8,2024-09-24 14:10:50,30.7,62.5
2024-09-24 15:00:00,29.3,66.7,2024-09-24 15:00:50,24.1,59.4
2024-09-24 15:50:00,40.5,78.9,2024-09-24 15:50:50,42.8,83.1
...

